Ranking,Song,Film,Year,Performer
51,Fame,Fame,1980,Irene Cara
52,Summertime,Porgy and Bess,1959,Loulie Jean Norman
53,Goldfinger,Goldfinger,1964,Shirley Bassey
54,Shall We Dance?,The King and I,1956,"Marni Nixon, Yul Brynner"
55,Flashdance... What a Feeling,Flashdance,1983,Irene Cara
56,Thank Heaven for Little Girls,Gigi,1958,Maurice Chevalier
57,The Windmills of Your Mind,The Thomas Crown Affair,1968,Noel Harrison
58,Gonna Fly Now,Rocky,1976,"DeEtta Little, Nelson Pigford"
59,Tonight,West Side Story,1961,"Marni Nixon, Jimmy Bryant"
60,It Had to Be You,When Harry Met Sally...,1989,"Frank Sinatra, Harry Connick Jr."
61,Get Happy,Summer Stock,1950,Judy Garland
62,Beauty and the Beast,Beauty and the Beast,1992,Angela Lansbury(as Mrs. Potts)
63,Thanks for the Memory,The Big Broadcast of 1938,1938,"Bob Hope, Shirley Ross"
64,My Favorite Things,The Sound of Music,1965,Julie Andrews
65,I Will Always Love You,The Bodyguard,1992,Whitney Houston
66,Suicide Is Painless,MASH,1970,Johnny Mandel
67,Nobody Does It Better,The Spy Who Loved Me,1977,Carly Simon
68,Streets of Philadelphia,Philadelphia,1993,Bruce Springsteen
69,On the Good Ship Lollipop,Bright Eyes,1934,Shirley Temple
70,Summer Nights,Grease,1978,"John Travolta, Olivia Newton-John"
71,(I'm a) Yankee Doodle Dandy,Yankee Doodle Dandy,1942,James Cagney
72,Good Morning,Singin' in the Rain,1952,"Gene Kelly, Donald O'Connor, Debbie Reynolds"
73,Isn't It Romantic?,Love Me Tonight,1932,"Maurice Chevalier, Jeanette MacDonald"
74,Rainbow Connection,The Muppet Movie,1979,Jim Henson(as Kermit the Frog)
75,Up Where We Belong,An Officer and a Gentleman,1982,"Joe Cocker, Jennifer Warnes"
76,Have Yourself a Merry Little Christmas,Meet Me in St. Louis,1944,Judy Garland
77,The Shadow of Your Smile,The Sandpiper,1965,Chorus
78,9 to 5,Nine to Five,1980,Dolly Parton
79,Arthur's Theme (Best That You Can Do),Arthur,1981,Christopher Cross
80,Springtime for Hitler,The Producers,1968,Ensemble
81,I'm Easy,Nashville,1975,Keith Carradine
82,Ding-Dong! The Witch Is Dead,The Wizard of Oz,1939,Ensemble
83,The Rose,The Rose,1979,Bette Midler
84,Put the Blame on Mame,Gilda,1946,Anita Ellis
85,Come What May,Moulin Rouge!,2001,"Nicole Kidman, Ewan McGregor"
86,(I've Had) The Time of My Life,Dirty Dancing,1987,"Bill Medley, Jennifer Warnes"
87,Buttons and Bows,The Paleface,1948,Bob Hope
88,Do Re Mi,The Sound of Music,1965,"Julie Andrews, Ensemble"
89,Puttin' on the Ritz,Young Frankenstein,1974,"Gene Wilder, Peter Boyle"
90,Seems Like Old Times,Annie Hall,1977,Diane Keaton
91,Let the River Run,Working Girl,1988,Carly Simon
92,Long Ago (and Far Away),Cover Girl,1944,"Gene Kelly, Martha Mears"
93,Lose Yourself,8 Mile,2002,Eminem
94,Ain't Too Proud to Beg,The Big Chill,1983,Temptations
95,(We're Off on the) Road to Morocco,Road to Morocco,1942,"Bing Crosby, Bob Hope"
96,Footloose,Footloose,1984,Kenny Loggins
97,Forty-Second Street,42nd Street,1933,"Ruby Keeler, Dick Powell, Ensemble"
98,All That Jazz,Chicago,2002,"Catherine Zeta-Jones, Renée Zellweger"
99,Hakuna Matata,The Lion King,1994,"Nathan Lane, Ernie Sabella, Jason Weaver, Joseph Williams"
100,Old Time Rock and Roll,Risky Business,1983,Bob Seger
